hidden_layers,hidden_neurons,activation_fn,learning_rate,accuracy
1,4,relu,0.1,0.55
1,4,relu,0.01,0.553125
1,4,relu,0.001,0.04375
1,4,sigmoid,0.1,0.56875
1,4,sigmoid,0.01,0.55625
1,4,sigmoid,0.001,0.034375
1,4,tanh,0.1,0.5875
1,4,tanh,0.01,0.565625
1,4,tanh,0.001,0.103125
1,8,relu,0.1,0.55625
1,8,relu,0.01,0.56875
1,8,relu,0.001,0.165625
1,8,sigmoid,0.1,0.5625
1,8,sigmoid,0.01,0.559375
1,8,sigmoid,0.001,0.40625
1,8,tanh,0.1,0.578125
1,8,tanh,0.01,0.58125
1,8,tanh,0.001,0.10625
1,16,relu,0.1,0.5875
1,16,relu,0.01,0.559375
1,16,relu,0.001,0.4875
1,16,sigmoid,0.1,0.5875
1,16,sigmoid,0.01,0.5625
1,16,sigmoid,0.001,0.415625
1,16,tanh,0.1,0.61875
1,16,tanh,0.01,0.56875
1,16,tanh,0.001,0.321875
1,32,relu,0.1,0.59375
1,32,relu,0.01,0.578125
1,32,relu,0.001,0.51875
1,32,sigmoid,0.1,0.575
1,32,sigmoid,0.01,0.5625
1,32,sigmoid,0.001,0.475
1,32,tanh,0.1,0.590625
1,32,tanh,0.01,0.584375
1,32,tanh,0.001,0.49375
1,64,relu,0.1,0.6125
1,64,relu,0.01,0.58125
1,64,relu,0.001,0.55
1,64,sigmoid,0.1,0.575
1,64,sigmoid,0.01,0.559375
1,64,sigmoid,0.001,0.521875
1,64,tanh,0.1,0.5625
1,64,tanh,0.01,0.578125
1,64,tanh,0.001,0.55
2,4,relu,0.1,0.5875
2,4,relu,0.01,0.546875
2,4,relu,0.001,0.03125
2,4,sigmoid,0.1,0.584375
2,4,sigmoid,0.01,0.40625
2,4,sigmoid,0.001,0.40625
2,4,tanh,0.1,0.590625
2,4,tanh,0.01,0.559375
2,4,tanh,0.001,0.04375
2,8,relu,0.1,0.609375
2,8,relu,0.01,0.553125
2,8,relu,0.001,0.40625
2,8,sigmoid,0.1,0.578125
2,8,sigmoid,0.01,0.525
2,8,sigmoid,0.001,0.4125
2,8,tanh,0.1,0.571875
2,8,tanh,0.01,0.56875
2,8,tanh,0.001,0.190625
2,16,relu,0.1,0.60625
2,16,relu,0.01,0.559375
2,16,relu,0.001,0.44375
2,16,sigmoid,0.1,0.56875
2,16,sigmoid,0.01,0.553125
2,16,sigmoid,0.001,0.428125
2,16,tanh,0.1,0.590625
2,16,tanh,0.01,0.578125
2,16,tanh,0.001,0.559375
2,32,relu,0.1,0.6
2,32,relu,0.01,0.6
2,32,relu,0.001,0.528125
2,32,sigmoid,0.1,0.575
2,32,sigmoid,0.01,0.58125
2,32,sigmoid,0.001,0.40625
2,32,tanh,0.1,0.6
2,32,tanh,0.01,0.58125
2,32,tanh,0.001,0.56875
2,64,relu,0.1,0.596875
2,64,relu,0.01,0.58125
2,64,relu,0.001,0.55
2,64,sigmoid,0.1,0.565625
2,64,sigmoid,0.01,0.5625
2,64,sigmoid,0.001,0.45625
2,64,tanh,0.1,0.596875
2,64,tanh,0.01,0.584375
2,64,tanh,0.001,0.56875
3,4,relu,0.1,0.596875
3,4,relu,0.01,0.40625
3,4,relu,0.001,0.40625
3,4,sigmoid,0.1,0.565625
3,4,sigmoid,0.01,0.4125
3,4,sigmoid,0.001,0.13125
3,4,tanh,0.1,0.578125
3,4,tanh,0.01,0.565625
3,4,tanh,0.001,0.40625
3,8,relu,0.1,0.565625
3,8,relu,0.01,0.565625
3,8,relu,0.001,0.065625
3,8,sigmoid,0.1,0.575
3,8,sigmoid,0.01,0.40625
3,8,sigmoid,0.001,0.4125
3,8,tanh,0.1,0.5875
3,8,tanh,0.01,0.575
3,8,tanh,0.001,0.403125
3,16,relu,0.1,0.60625
3,16,relu,0.01,0.578125
3,16,relu,0.001,0.4375
3,16,sigmoid,0.1,0.575
3,16,sigmoid,0.01,0.459375
3,16,sigmoid,0.001,0.4125
3,16,tanh,0.1,0.609375
3,16,tanh,0.01,0.578125
3,16,tanh,0.001,0.525
3,32,relu,0.1,0.60625
3,32,relu,0.01,0.565625
3,32,relu,0.001,0.534375
3,32,sigmoid,0.1,0.559375
3,32,sigmoid,0.01,0.5625
3,32,sigmoid,0.001,0.40625
3,32,tanh,0.1,0.6375
3,32,tanh,0.01,0.571875
3,32,tanh,0.001,0.54375
3,64,relu,0.1,0.571875
3,64,relu,0.01,0.609375
3,64,relu,0.001,0.55625
3,64,sigmoid,0.1,0.4125
3,64,sigmoid,0.01,0.56875
3,64,sigmoid,0.001,0.40625
3,64,tanh,0.1,0.590625
3,64,tanh,0.01,0.590625
3,64,tanh,0.001,0.5625
