Hidden Size,Pooling,Optimizer,Epoch,Accuracy
16,max,SGD,5,40.625
16,max,SGD,50,40.625
16,max,SGD,100,40.9375
16,max,SGD,250,45.0
16,max,SGD,350,49.0625
16,max,RMSProp,5,45.0
16,max,RMSProp,50,56.25
16,max,RMSProp,100,56.25
16,max,RMSProp,250,56.5625
16,max,RMSProp,350,56.5625
16,max,Adam,5,43.125
16,max,Adam,50,54.375
16,max,Adam,100,55.9375
16,max,Adam,250,56.25
16,max,Adam,350,56.5625
16,avg,SGD,5,9.375
16,avg,SGD,50,41.5625
16,avg,SGD,100,41.25
16,avg,SGD,250,40.9375
16,avg,SGD,350,41.5625
16,avg,RMSProp,5,48.75
16,avg,RMSProp,50,54.375
16,avg,RMSProp,100,56.25
16,avg,RMSProp,250,56.875
16,avg,RMSProp,350,56.25
16,avg,Adam,5,40.625
16,avg,Adam,50,55.0
16,avg,Adam,100,55.625
16,avg,Adam,250,57.1875
16,avg,Adam,350,56.875
32,max,SGD,5,6.25
32,max,SGD,50,38.75
32,max,SGD,100,40.625
32,max,SGD,250,40.9375
32,max,SGD,350,45.9375
32,max,RMSProp,5,51.5625
32,max,RMSProp,50,56.25
32,max,RMSProp,100,56.25
32,max,RMSProp,250,56.5625
32,max,RMSProp,350,55.9375
32,max,Adam,5,48.4375
32,max,Adam,50,56.25
32,max,Adam,100,56.25
32,max,Adam,250,56.25
32,max,Adam,350,56.25
32,avg,SGD,5,41.25
32,avg,SGD,50,39.0625
32,avg,SGD,100,40.3125
32,avg,SGD,250,43.4375
32,avg,SGD,350,40.625
32,avg,RMSProp,5,47.8125
32,avg,RMSProp,50,55.9375
32,avg,RMSProp,100,56.5625
32,avg,RMSProp,250,55.9375
32,avg,RMSProp,350,56.25
32,avg,Adam,5,42.5
32,avg,Adam,50,54.375
32,avg,Adam,100,55.3125
32,avg,Adam,250,57.1875
32,avg,Adam,350,56.875
64,max,SGD,5,40.625
64,max,SGD,50,40.625
64,max,SGD,100,40.625
64,max,SGD,250,41.25
64,max,SGD,350,49.6875
64,max,RMSProp,5,54.0625
64,max,RMSProp,50,56.875
64,max,RMSProp,100,56.5625
64,max,RMSProp,250,55.9375
64,max,RMSProp,350,55.9375
64,max,Adam,5,50.3125
64,max,Adam,50,55.625
64,max,Adam,100,55.9375
64,max,Adam,250,56.5625
64,max,Adam,350,55.9375
64,avg,SGD,5,38.4375
64,avg,SGD,50,40.625
64,avg,SGD,100,40.625
64,avg,SGD,250,42.1875
64,avg,SGD,350,41.875
64,avg,RMSProp,5,51.5625
64,avg,RMSProp,50,55.9375
64,avg,RMSProp,100,56.5625
64,avg,RMSProp,250,56.5625
64,avg,RMSProp,350,56.25
64,avg,Adam,5,44.6875
64,avg,Adam,50,55.9375
64,avg,Adam,100,56.5625
64,avg,Adam,250,56.25
64,avg,Adam,350,56.25
